Year,Value,Units,Series,Observation status,Unit multiplier
1972,4.02,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1973,4.88,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1974,-2.73,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1975,-1.09,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1976,3.52,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1977,2.36,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1978,3.66,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1979,2.7,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1980,-1.61,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1981,1.88,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1982,4.03,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1983,4.99,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1984,0.12,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1985,2.85,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1986,2.51,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1987,3.33,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1988,2.36,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1989,-0.03,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1990,0.28,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1991,1.58,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1992,2.85,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1993,3.45,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1994,3.03,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1995,1.28,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1996,1.54,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1997,2.03,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1998,2.6,Percentage change (%),SL_EMP_PCAP,Undefined,Units
1999,2.01,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2000,2.25,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2001,2.13,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2002,1.47,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2003,2.27,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2004,1.27,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2005,2.04,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2006,1.77,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2007,1.59,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2008,-1.12,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2009,-2.7,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2010,1.7,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2011,1.02,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2012,0.39,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2013,0.96,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2014,0.24,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2015,0.62,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2016,0.44,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2017,0.9,Percentage change (%),SL_EMP_PCAP,Undefined,Units
2018,0.19,Percentage change (%),SL_EMP_PCAP,Undefined,Units
